"";"other";"cellulolytic"
"JERC_002-M-12-7-20140710";0.974610155937625;0.0253898440623751
"JERC_002-M-27-36-20140805";0.93702518992403;0.0629748100759696
"JERC_002-M-35-24-20140710";0.941223510595762;0.0587764894042383
"JERC_003-M-1-7-20140805";0.941423430627749;0.0585765693722511
"JERC_003-M-3-26-20140805";0.93202718912435;0.0679728108756497
"JERC_003-M-33-0-20140805";0.972011195521791;0.0279888044782087
"JERC_005-M-24-40-20140805";0.941823270691723;0.0581767293082767
"JERC_005-M-33-2-20140805";0.948220711715314;0.0517792882846861
"JERC_005-M-4-9-20140805";0.951819272291084;0.0481807277089164
"JERC_006-M-15-33-20140710";0.943622550979608;0.0563774490203918
"JERC_006-M-2-0-20140805";0.942223110755698;0.0577768892443023
"JERC_006-M-21-39-20140710";0.958416633346661;0.0415833666533387
"JERC_006-M-2-33-20140710";0.940423830467813;0.0595761695321871
"JERC_006-M-39-30-20140805";0.965213914434226;0.0347860855657737
"JERC_006-M-8-11-20140805";0.94922031187525;0.0507796881247501
"JERC_008-M-23-30-20140805";0.95421831267493;0.04578168732507
"JERC_008-M-33-4-20140805";0.950419832067173;0.0495801679328269
"JERC_047-M-3-32-20140805";0.935825669732107;0.0641743302678928
"JERC_047-M-36-16-20140805";0.949820071971212;0.0501799280287885
"JERC_047-M-6-12-20140805";0.956617353058776;0.0433826469412235
"JERC_048-M-19-30-20140805";0.935025989604158;0.0649740103958417
"JERC_048-M-27-8-20140805";0.954618152738904;0.0453818472610956
"JERC_048-M-31-3-20140805";0.951819272291084;0.0481807277089164
"JERC_049-M-18-17-20140805";0.960815673730508;0.0391843262694922
"JERC_049-M-2-27-20140805";0.939824070371851;0.0601759296281487
"ORNL_001-O-17-34-20140715";0.929828068772491;0.070171931227509
"ORNL_002-O-5-26-20140714";0.9406237504998;0.0593762495001999
"ORNL_003-O-9-11-20140714";0.907237105157937;0.0927628948420632
"ORNL_021-O-15-33-20140714";0.951619352259096;0.0483806477409036
"ORNL_027-O-2-33-20140715";0.968412634946022;0.0315873650539784
"ORNL_029-O-9-2-20140714";0.978008796481407;0.0219912035185926
"ORNL_031-O-11-3-20140714";0.960415833666533;0.0395841663334666
"ORNL_037-O-4-23-20140715";0.923230707716913;0.0767692922830868
"ORNL_043-O-2-27-20140715";0.912634946021591;0.0873650539784086
"OSBS_001-M-17-34-20140701";0.981607357057177;0.0183926429428229
"OSBS_001-M-17-34-20140818";0.983206717313075;0.0167932826869252
"OSBS_001-M-26-3-20140701";0.971011595361855;0.0289884046381447
"OSBS_001-M-26-3-20140818";0.969612155137945;0.0303878448620552
"OSBS_001-M-29-2-20140701";0.970611755297881;0.0293882447021192
"OSBS_001-M-29-2-20140818";0.976209516193523;0.0237904838064774
"OSBS_002-M-12-7-20140701";0.922630947620952;0.0773690523790484
"OSBS_002-M-12-7-20140818";0.941023590563774;0.0589764094362255
"OSBS_002-M-35-24-20140701";0.928028788484606;0.0719712115153938
"OSBS_002-M-35-24-20140818";0.956817273090764;0.0431827269092363
"OSBS_002-M-5-26-20140701";0.942023190723711;0.0579768092762895
"OSBS_003-M-17-9-20140701";0.969012395041983;0.0309876049580168
"OSBS_003-M-17-9-20140818";0.947820871651339;0.0521791283486605
"OSBS_003-M-29-37-20140701";0.947421031587365;0.0525789684126349
"OSBS_003-M-29-37-20140818";0.952219112355058;0.047780887644942
"OSBS_003-M-9-11-20140701";0.974010395841663;0.0259896041583367
"OSBS_003-M-9-11-20140818";0.980407836865254;0.0195921631347461
"OSBS_022-M-15-33-20140701";0.985805677728908;0.0141943222710916
"OSBS_022-M-21-39-20140701";0.988204718112755;0.0117952818872451
"OSBS_022-M-2-33-20140701";0.985205917632947;0.0147940823670532
"SCBI_002-M-1-6-20140715";0.977409036385446;0.0225909636145542
