"";"other";"cellulolytic"
"HARV_020-O-30-27-20140812";0.952068043250027;0.0479319567499728
"HARV_020-O-37-22-20140812";0.951920561702345;0.0480794382976552
"HARV_021-M-3-37-20140717";0.943525174471142;0.0564748255288583
"HARV_021-M-36-16-20140717";0.943549203857774;0.0564507961422259
"HARV_021-M-6-12-20140717";0.943552723460267;0.056447276539733
"HARV_021-O-3-37-20140717";0.943508182020614;0.0564918179793861
"HARV_021-O-36-16-20140717";0.943538007350855;0.0564619926491448
"HARV_033-M-23-30-20140717";0.945517374411596;0.0544826255884045
"HARV_033-M-30-38-20140717";0.945572734312651;0.0544272656873488
"HARV_033-M-33-4-20140717";0.945528841788291;0.0544711582117095
"HARV_033-O-23-30-20140717";0.945558724450691;0.0544412755493089
"HARV_033-O-30-38-20140717";0.945485065910937;0.0545149340890635
"HARV_034-M-23-8-20140717";0.944048008536954;0.0559519914630457
"HARV_034-M-31-3-20140717";0.944122738079072;0.0558772619209282
"HARV_034-O-19-30-20140717";0.944070200653913;0.0559297993460874
"HARV_035-M-33-17-20140716";0.944781579304395;0.0552184206956047
"HARV_035-O-18-37-20140717";0.944777449299491;0.0552225507005093
"JERC_001-M-1-6-20140805";0.945697523417797;0.0543024765822033
"JERC_001-M-17-34-20140710";0.946439054301013;0.0535609456989874
"JERC_001-M-29-2-20140710";0.946420538579901;0.0535794614200986
"JERC_001-M-7-5-20140805";0.946636355165122;0.0533636448348782
"JERC_001-M-9-17-20140805";0.946565789565415;0.0534342104345851
"JERC_002-M-11-0-20140805";0.946964426814462;0.0530355731855379
"JERC_002-M-12-7-20140710";0.946665396656674;0.0533346033433257
"JERC_002-M-27-36-20140805";0.946193103635585;0.0538068963644146
"JERC_002-M-35-24-20140710";0.946679816931416;0.0533201830685839
"JERC_003-M-1-7-20140805";0.946811891632853;0.0531881083671472
"JERC_003-M-3-26-20140805";0.94823078685554;0.0517692131444598
"JERC_003-M-33-0-20140805";0.945696651079314;0.054303348920686
"JERC_005-M-24-40-20140805";0.94707374916856;0.0529262508314397
"JERC_005-M-33-2-20140805";0.945946003689796;0.0540539963102038
"JERC_005-M-4-9-20140805";0.946824612829092;0.0531753871709083
"JERC_006-M-15-33-20140710";0.946685968515644;0.0533140314843559
"JERC_006-M-2-0-20140805";0.94762281251409;0.05237718748591
"JERC_006-M-21-39-20140710";0.946594146229032;0.0534058537709681
"JERC_006-M-2-33-20140710";0.946670454905538;0.0533295450944623
"JERC_006-M-39-30-20140805";0.94646523473592;0.0535347652640795
"JERC_006-M-8-11-20140805";0.946561042539679;0.0534389574603212
"JERC_008-M-23-30-20140805";0.943766328879331;0.0562336711206687
"JERC_008-M-33-4-20140805";0.94632945438504;0.0536705456149601
