"";"other";"chitinolytic"
"JERC_003-M-1-7-20140805";0.944603233783763;0.0553967662162369
"JERC_003-M-3-26-20140805";0.947708610603926;0.0522913893960743
"JERC_003-M-33-0-20140805";0.941886862898575;0.0581131371014246
"JERC_005-M-24-40-20140805";0.945246320313199;0.0547536796868011
"JERC_005-M-33-2-20140805";0.942544391860734;0.0574556081392657
"JERC_005-M-4-9-20140805";0.944487645420043;0.055512354579957
"JERC_006-M-15-33-20140710";0.944333417336888;0.0556665826631117
"JERC_006-M-2-0-20140805";0.946459372255127;0.0535406277448726
"JERC_006-M-21-39-20140710";0.944351565543448;0.0556484344565516
"JERC_006-M-2-33-20140710";0.944278731003959;0.0557212689960407
"JERC_006-M-39-30-20140805";0.943726945453561;0.0562730545464391
"JERC_006-M-8-11-20140805";0.943982811724311;0.0560171882756893
"JERC_008-M-23-30-20140805";0.937319678797196;0.0626803212028038
"JERC_008-M-33-4-20140805";0.943492302510019;0.0565076974899809
"JERC_047-M-3-32-20140805";0.943400973992639;0.0565990260073606
"JERC_047-M-36-16-20140805";0.942701865312568;0.0572981346874316
"JERC_047-M-6-12-20140805";0.942597326294385;0.0574026737056151
"JERC_048-M-19-30-20140805";0.942824013919885;0.0571759860801153
"JERC_048-M-27-8-20140805";0.94354711343507;0.0564528865649295
"JERC_048-M-31-3-20140805";0.943012025099543;0.0569879749004573
"JERC_049-M-18-17-20140805";0.944057320507461;0.0559426794925394
"JERC_049-M-2-27-20140805";0.949147018727393;0.0508529812726071
"ORNL_001-O-17-34-20140715";0.950619553754023;0.0493804462459768
"ORNL_002-O-5-26-20140714";0.952927796107112;0.0470722038928883
"ORNL_003-O-9-11-20140714";0.955337749728711;0.0446622502712887
"ORNL_021-O-15-33-20140714";0.944077759010549;0.0559222409894507
"ORNL_027-O-2-33-20140715";0.954199650631047;0.0458003493689526
"ORNL_029-O-9-2-20140714";0.932739126719556;0.0672608732804444
"ORNL_031-O-11-3-20140714";0.94072493959213;0.0592750604078696
"ORNL_037-O-4-23-20140715";0.952129484112042;0.0478705158879575
"ORNL_043-O-2-27-20140715";0.957769627747919;0.0422303722520811
"OSBS_001-M-17-34-20140701";0.961466831733873;0.0385331682661271
"OSBS_001-M-17-34-20140818";0.960223321509315;0.0397766784906851
"OSBS_001-M-26-3-20140701";0.95909279088089;0.04090720911911
"OSBS_001-M-26-3-20140818";0.960149573121876;0.039850426878124
"OSBS_001-M-29-2-20140701";0.960156449882345;0.0398435501176547
"OSBS_001-M-29-2-20140818";0.958848231963361;0.0411517680366394
"OSBS_002-M-12-7-20140701";0.946595119537;0.0534048804630001
"OSBS_002-M-12-7-20140818";0.949205171250857;0.0507948287491434
"OSBS_002-M-35-24-20140701";0.949187405521324;0.050812594478676
"OSBS_002-M-35-24-20140818";0.950690703425203;0.0493092965747966
