"";"other";"lignolytic"
"HARV_020-M-30-27-20140812";0.980603144306911;0.0193968556930895
"HARV_020-M-37-22-20140812";0.980531404355848;0.0194685956441524
"HARV_020-O-12-33-20140812";0.98063400233766;0.0193659976623396
"HARV_020-O-30-27-20140812";0.980617555252745;0.0193824447472553
"HARV_020-O-37-22-20140812";0.980652818765915;0.0193471812340855
"HARV_021-M-3-37-20140717";0.983563405463872;0.0164365945361277
"HARV_021-M-36-16-20140717";0.983530383519658;0.0164696164803422
"HARV_021-M-6-12-20140717";0.983546456435816;0.0164535435641844
"HARV_021-O-3-37-20140717";0.983510900542643;0.0164890994573566
"HARV_021-O-36-16-20140717";0.983600630780138;0.0163993692198619
"HARV_033-M-23-30-20140717";0.983037214870509;0.0169627851294909
"HARV_033-M-30-38-20140717";0.983023026428846;0.0169769735711536
"HARV_033-M-33-4-20140717";0.983055851664849;0.0169441483351508
"HARV_033-O-23-30-20140717";0.983035733720501;0.0169642662794994
"HARV_033-O-30-38-20140717";0.983024847443305;0.0169751525566947
"HARV_034-M-23-8-20140717";0.983427629470164;0.0165723705298357
"HARV_034-M-31-3-20140717";0.983428501528759;0.0165714984712405
"HARV_034-O-19-30-20140717";0.983419587891596;0.0165804121084041
"HARV_035-M-33-17-20140716";0.983235729192488;0.0167642708075123
"HARV_035-O-18-37-20140717";0.983286993725378;0.0167130062746225
"JERC_001-M-1-6-20140805";0.978341218639941;0.0216587813600592
"JERC_001-M-17-34-20140710";0.979044344884149;0.0209556551158513
"JERC_001-M-29-2-20140710";0.978992484919278;0.0210075150807219
"JERC_001-M-7-5-20140805";0.979310388020173;0.0206896119798268
"JERC_001-M-9-17-20140805";0.979178683412178;0.0208213165878223
"JERC_002-M-11-0-20140805";0.979557078719953;0.0204429212800472
"JERC_002-M-12-7-20140710";0.979215271529353;0.0207847284706468
"JERC_002-M-27-36-20140805";0.978745260197537;0.0212547398024629
"JERC_002-M-35-24-20140710";0.979293642101376;0.0207063578986243
"JERC_003-M-1-7-20140805";0.979399869993902;0.0206001300060977
"JERC_003-M-3-26-20140805";0.980645448239502;0.0193545517604983
"JERC_003-M-33-0-20140805";0.978331839630737;0.0216681603692629
"JERC_005-M-24-40-20140805";0.979648644024166;0.0203513559758337
"JERC_005-M-33-2-20140805";0.97856367367571;0.0214363263242899
"JERC_005-M-4-9-20140805";0.979407806656818;0.0205921933431819
"JERC_006-M-15-33-20140710";0.979291656309541;0.0207083436904587
"JERC_006-M-2-0-20140805";0.980119221198599;0.0198807788014013
"JERC_006-M-21-39-20140710";0.979273616247928;0.0207263837520716
"JERC_006-M-2-33-20140710";0.979284174353162;0.0207158256468381
"JERC_006-M-39-30-20140805";0.979064744327029;0.0209352556729714
"JERC_006-M-8-11-20140805";0.979186515806988;0.0208134841930116
"JERC_008-M-23-30-20140805";0.976452391764097;0.0235476082359028
"JERC_008-M-33-4-20140805";0.978928076810142;0.0210719231898578
"JERC_047-M-3-32-20140805";0.978782153572484;0.0212178464275163
"JERC_047-M-36-16-20140805";0.97852567033052;0.0214743296694802
"JERC_047-M-6-12-20140805";0.978469449827247;0.0215305501727534
"JERC_048-M-19-30-20140805";0.978582875992178;0.0214171240078225
"JERC_048-M-27-8-20140805";0.978800537557378;0.021199462442622
"JERC_048-M-31-3-20140805";0.978672267330992;0.0213277326690078
"JERC_049-M-18-17-20140805";0.97904682864773;0.0209531713522698
"JERC_049-M-2-27-20140805";0.981179095758754;0.0188209042412465
"ORNL_001-O-17-34-20140715";0.980838229583495;0.0191617704165051
"ORNL_002-O-5-26-20140714";0.979668712648822;0.0203312873511777
"ORNL_003-O-9-11-20140714";0.983141690073556;0.0168583099264444
"ORNL_021-O-15-33-20140714";0.974474060790588;0.0255259392094123
"ORNL_027-O-2-33-20140715";0.977183377282957;0.0228166227170431
"ORNL_029-O-9-2-20140714";0.972035386879333;0.0279646131206672
"ORNL_031-O-11-3-20140714";0.970028278194237;0.0299717218057634
"ORNL_037-O-4-23-20140715";0.982275971364383;0.0177240286356173
"ORNL_043-O-2-27-20140715";0.984048719351114;0.0159512806488863
"OSBS_001-M-17-34-20140701";0.984573820209621;0.0154261797903794
"OSBS_001-M-17-34-20140818";0.984045803531365;0.0159541964686351
"OSBS_001-M-26-3-20140701";0.983557776052371;0.0164422239476291
"OSBS_001-M-26-3-20140818";0.984072588512974;0.0159274114870259
"OSBS_001-M-29-2-20140701";0.984044225181441;0.0159557748185586
"OSBS_001-M-29-2-20140818";0.983456139972085;0.0165438600279147
"OSBS_002-M-12-7-20140701";0.978200012159797;0.0217999878402025
"OSBS_002-M-12-7-20140818";0.979328004942298;0.0206719950577023
"OSBS_002-M-35-24-20140701";0.979291342176057;0.0207086578239426
"OSBS_002-M-35-24-20140818";0.979919972663723;0.0200800273362774
