"";"other";"methanotroph"
"OSBS_001-M-26-3-20140701";0.991136618389664;0.00886338161033558
"OSBS_001-M-26-3-20140818";0.990811176499097;0.00918882350090262
"OSBS_001-M-29-2-20140701";0.990826223845122;0.00917377615487817
"OSBS_001-M-29-2-20140818";0.99119422198624;0.00880577801375979
"OSBS_002-M-12-7-20140701";0.99366577757878;0.00633422242121963
"OSBS_002-M-12-7-20140818";0.993259416971815;0.00674058302818504
"OSBS_002-M-35-24-20140701";0.993257951707645;0.00674204829235465
"OSBS_002-M-35-24-20140818";0.993007711633363;0.00699228836663747
"OSBS_002-M-5-26-20140701";0.993259300432751;0.00674069956724946
"OSBS_003-M-17-9-20140701";0.992007452440497;0.0079925475595032
"OSBS_003-M-17-9-20140818";0.992265536104106;0.00773446389589451
"OSBS_003-M-29-37-20140701";0.992365567621968;0.00763443237803163
"OSBS_003-M-29-37-20140818";0.992274141379145;0.00772585862085524
"OSBS_003-M-9-11-20140701";0.992270727562365;0.00772927243763511
"OSBS_003-M-9-11-20140818";0.992724418655406;0.0072755813445936
"OSBS_022-M-15-33-20140701";0.989969214118266;0.0100307858817337
"OSBS_022-M-21-39-20140701";0.989552732261673;0.0104472677383273
"OSBS_022-M-2-33-20140701";0.989897316489774;0.010102683510226
"SCBI_002-M-1-6-20140715";0.993650339434504;0.00634966056549592
"SCBI_002-M-26-3-20140618";0.993792190205352;0.00620780979464757
"SCBI_002-M-7-5-20140715";0.993385262521126;0.0066147374788735
"SCBI_002-M-9-17-20140715";0.993820555553006;0.00617944444699447
"SCBI_003-M-11-0-20140715";0.993029040289004;0.00697095971099562
"SCBI_003-M-13-6-20140618";0.993397598731429;0.00660240126857093
"SCBI_003-M-27-36-20140715";0.993220268140457;0.00677973185954262
"SCBI_003-M-30-5-20140715";0.991589071952299;0.00841092804770137
"SCBI_003-M-35-24-20140618";0.993932986491125;0.00606701350887524
"SCBI_003-M-5-26-20140618";0.994437767849237;0.00556223215076256
"SCBI_006-M-15-7-20140827";0.993188256121482;0.00681174387851773
"SCBI_006-M-1-7-20140715";0.993941368845574;0.0060586311544257
"SCBI_006-M-17-9-20140618";0.993889994468629;0.00611000553137144
"SCBI_006-M-27-2-20140715";0.993909313721809;0.00609068627819076
"SCBI_006-M-29-37-20140618";0.993464682752559;0.0065353172474407
"SCBI_006-M-3-26-20140715";0.99330837979216;0.00669162020783977
"SCBI_006-M-33-11-20140826";0.99329026653504;0.00670973346495973
"SCBI_006-M-4-7-20140826";0.993221868318862;0.00677813168113837
"SCBI_006-M-9-11-20140618";0.993318498590861;0.00668150140913872
"SCBI_012-M-0-30-20140825";0.993377405568102;0.00662259443189828
"SCBI_012-M-15-33-20140618";0.994099789867809;0.00590021013219094
"SCBI_012-M-16-7-20140825";0.993617248227391;0.00638275177260936
"SCBI_012-M-21-38-20140715";0.992908943411883;0.00709105658811696
"SCBI_012-M-21-39-20140618";0.993888628049615;0.00611137195038507
"SCBI_012-M-23-28-20140825";0.993675563948206;0.00632443605179378
"SCBI_012-M-2-33-20140618";0.993858352067812;0.00614164793218747
"SCBI_012-M-33-4-20140715";0.993836128583494;0.00616387141650595
"SCBI_033-M-36-16-20140826";0.993567535604467;0.00643246439553305
"SCBI_033-M-4-38-20140826";0.992994725646534;0.0070052743534659
"SCBI_033-M-6-12-20140826";0.993021615593356;0.00697838440664366
"SCBI_045-M-23-30-20140825";0.992812573606682;0.00718742639331807
"SCBI_045-M-30-38-20140825";0.992880840902421;0.00711915909757886
"STER_005-M-0-30-20140820";0.994998148678253;0.00500185132174714
"STER_005-M-16-7-20140820";0.995321997596087;0.00467800240391328
"STER_005-M-23-38-20140820";0.995122348651282;0.00487765134871828
"STER_006-M-1-6-20140722";0.993605180386366;0.00639481961363377
"STER_006-M-22-32-20140820";0.993763017643752;0.00623698235624846
"STER_006-M-30-37-20140820";0.993588948997435;0.00641105100256465
"STER_006-M-7-0-20140820";0.993912212556158;0.0060877874438423
"STER_006-M-7-5-20140722";0.993737121281981;0.00626287871801886
"STER_018-M-15-7-20140820";0.99441016550517;0.00558983449483028
"STER_018-M-4-7-20140820";0.993754222199516;0.0062457778004844
"STER_026-M-10-34-20140820";0.994130082049878;0.00586991795012169
"STER_026-M-11-0-20140722";0.993806371422064;0.00619362857793637
"STER_026-M-25-6-20140820";0.993745064860757;0.00625493513924343
"STER_026-M-27-36-20140722";0.993855611235589;0.00614438876441122
"STER_026-M-30-5-20140723";0.993872706491211;0.00612729350878911
"STER_026-M-9-4-20140820";0.993594494414453;0.00640550558554704
"STER_027-M-33-0-20140723";0.994606076591086;0.00539392340891443
"STER_028-M-20-40-20140722";0.995337407095276;0.00466259290472408
"STER_028-M-21-38-20140722";0.995166964377926;0.00483303562207356
"STER_028-M-33-4-20140722";0.994704299562118;0.00529570043788165
"STER_033-M-23-30-20140723";0.994650771916757;0.00534922808324275
"STER_033-M-30-38-20140723";0.99494424384543;0.00505575615456977
"STER_033-M-33-4-20140723";0.995574106011806;0.00442589398819445
"STER_034-M-19-30-20140723";0.99590887742464;0.00409112257535997
"STER_035-M-33-17-20140723";0.995886943000034;0.00411305699996648
"TALL_001-M-2-23-20140903";0.992404154716507;0.00759584528349287
"TALL_001-M-28-23-20140903";0.991957406430382;0.00804259356961778
"TALL_001-O-2-23-20140903";0.991868498585015;0.00813150141498517
"TALL_001-O-27-7-20140903";0.989069485096712;0.0109305149032884
"TALL_001-O-28-23-20140903";0.992152276968476;0.0078477230315242
"TALL_002-M-36-24-20140903";0.992670346711323;0.00732965328867647
"TALL_002-M-8-40-20140903";0.993123347358493;0.00687665264150675
"TALL_002-M-8-8-20140903";0.993339128779218;0.00666087122078238
"TALL_002-O-36-24-20140903";0.993389464861992;0.00661053513800836
"TALL_004-M-16-36-20140903";0.992710132333011;0.00728986766698893
"TALL_004-M-34-40-20140903";0.991470244758776;0.00852975524122378
"TALL_004-M-38-6-20140903";0.992729912660638;0.00727008733936173
"TALL_006-M-14-30-20140903";0.993706100483714;0.00629389951628571
"TALL_006-M-14-6-20140903";0.993038487571222;0.00696151242877801
"TALL_006-M-26-35-20140903";0.993664356152802;0.00633564384719769
"UNDE_001-M-22-32-20140708";0.990062582008418;0.00993741799158151
"UNDE_001-M-7-0-20140708";0.990042852079645;0.00995714792035507
"UNDE_001-O-30-37-20140708";0.990048715516955;0.00995128448304512
"UNDE_006-M-10-34-20140707";0.991589782538021;0.00841021746197946
"UNDE_006-M-25-6-20140707";0.991582097582519;0.0084179024174809
"UNDE_006-M-9-4-20140707";0.991582754684078;0.00841724531592237
"UNDE_007-M-33-2-20140710";0.990848050273655;0.00915194972634541
"UNDE_007-M-4-9-20140710";0.990854993768244;0.00914500623175644
"UNDE_008-M-15-7-20140707";0.990617569508193;0.00938243049180704
"UNDE_008-M-33-11-20140707";0.990580344760914;0.00941965523908586
"UNDE_008-M-4-7-20140707";0.990593892762102;0.00940610723789774
"UNDE_013-M-2-0-20140708";0.990834619688418;0.00916538031158215
"UNDE_013-M-39-30-20140708";0.990833355001848;0.00916664499815199
"UNDE_013-M-8-11-20140708";0.990800103562052;0.00919989643794797
"UNDE_014-M-36-16-20140711";0.990818975438869;0.00918102456113125
"UNDE_014-M-6-12-20140711";0.990833673537542;0.00916632646245775
"UNDE_017-M-0-30-20140707";0.990789812873855;0.00921018712614544
"UNDE_017-M-23-38-20140707";0.990777944447603;0.00922205555239662
"UNDE_019-M-23-30-20140708";0.990884671575958;0.00911532842404152
"UNDE_019-M-30-38-20140708";0.990886138253531;0.00911386174646875
"UNDE_019-M-33-4-20140708";0.990909344244537;0.00909065575546315
"UNDE_027-M-19-30-20140708";0.990803002519011;0.00919699748098897
