"";"other";"dissim_nitrite_reduction"
"OSBS_002-M-5-26-20140701";0.86535859434251;0.13464140565749
"OSBS_003-M-17-9-20140701";0.87845732911972;0.12154267088028
"OSBS_003-M-17-9-20140818";0.876671292061412;0.123328707938588
"OSBS_003-M-29-37-20140701";0.876326779602061;0.123673220397939
"OSBS_003-M-29-37-20140818";0.876650536467093;0.123349463532907
"OSBS_003-M-9-11-20140701";0.876666714209828;0.123333285790172
"OSBS_003-M-9-11-20140818";0.873710370415524;0.126289629584476
"OSBS_022-M-15-33-20140701";0.885400125967788;0.114599874032212
"OSBS_022-M-21-39-20140701";0.887397624394519;0.112602375605481
"OSBS_022-M-2-33-20140701";0.885291333733412;0.114708666266588
"SCBI_002-M-1-6-20140715";0.858681019942307;0.141318980057693
"SCBI_002-M-26-3-20140618";0.857178245829122;0.142821754170877
"SCBI_002-M-7-5-20140715";0.860883365128628;0.139116634871372
"SCBI_002-M-9-17-20140715";0.856906258206005;0.143093741793995
"SCBI_003-M-11-0-20140715";0.855502741823228;0.144497258176772
"SCBI_003-M-13-6-20140618";0.852204539318837;0.147795460681163
"SCBI_003-M-27-36-20140715";0.853600891935669;0.14639910806433
"SCBI_003-M-30-5-20140715";0.865690727819032;0.134309272180968
"SCBI_003-M-35-24-20140618";0.847648125564243;0.152351874435757
"SCBI_003-M-5-26-20140618";0.842340853887738;0.157659146112262
"SCBI_006-M-15-7-20140827";0.862551730249323;0.137448269750677
"SCBI_006-M-1-7-20140715";0.856098924611919;0.143901075388081
"SCBI_006-M-17-9-20140618";0.856482902456718;0.143517097543283
"SCBI_006-M-27-2-20140715";0.856560946701891;0.143439053298109
"SCBI_006-M-29-37-20140618";0.860203978238458;0.139796021761542
"SCBI_006-M-3-26-20140715";0.861544663739094;0.138455336260906
"SCBI_006-M-33-11-20140826";0.861783830993721;0.138216169006279
"SCBI_006-M-4-7-20140826";0.862360182367985;0.137639817632015
"SCBI_006-M-9-11-20140618";0.861369534214357;0.138630465785643
"SCBI_012-M-0-30-20140825";0.861042465602083;0.138957534397917
"SCBI_012-M-15-33-20140618";0.854906467541703;0.145093532458297
"SCBI_012-M-16-7-20140825";0.85883868835346;0.14116131164654
"SCBI_012-M-21-38-20140715";0.864891507808497;0.135108492191503
"SCBI_012-M-21-39-20140618";0.856640658956184;0.143359341043816
"SCBI_012-M-23-28-20140825";0.858548220812592;0.141451779187409
"SCBI_012-M-2-33-20140618";0.856988421347293;0.143011578652707
"SCBI_012-M-33-4-20140715";0.856795436539924;0.143204563460076
"SCBI_033-M-36-16-20140826";0.859315990931447;0.140684009068553
"SCBI_033-M-4-38-20140826";0.863987616302463;0.136012383697537
"SCBI_033-M-6-12-20140826";0.863899271760648;0.136100728239352
"SCBI_045-M-23-30-20140825";0.865448565651022;0.134551434348978
"SCBI_045-M-30-38-20140825";0.865351853249097;0.134648146750903
"STER_005-M-0-30-20140820";0.860236305308478;0.139763694691522
"STER_005-M-16-7-20140820";0.856551855859751;0.143448144140249
"STER_005-M-23-38-20140820";0.858859978643813;0.141140021356187
"STER_006-M-1-6-20140722";0.873464347194679;0.126535652805321
"STER_006-M-22-32-20140820";0.872016631331382;0.127983368668618
"STER_006-M-30-37-20140820";0.87341522661521;0.12658477338479
"STER_006-M-7-0-20140820";0.870687098649223;0.129312901350777
"STER_006-M-7-5-20140722";0.872425423024972;0.127574576975028
"STER_018-M-15-7-20140820";0.866404066793707;0.133595933206293
"STER_018-M-4-7-20140820";0.872187818955001;0.127812181044999
"STER_026-M-10-34-20140820";0.868932408860222;0.131067591139778
"STER_026-M-11-0-20140722";0.87140901641851;0.12859098358149
"STER_026-M-25-6-20140820";0.872100324419885;0.127899675580115
"STER_026-M-27-36-20140722";0.8714599329902;0.1285400670098
"STER_026-M-30-5-20140723";0.871129168173783;0.128870831826217
