samples,latitude,longitude,depth_max,forest,map,map_sd,mat,mat_sd,map_CV,mat_CV,mdr,aridity,NPP,relEM,pH
ram_samp_1204,57.183,-2.85,7.5,0,1.005,0.047151494,6.887499974,1.233758093,21.58840645,390.79246,6.858333416,2.303999901,0.656000018,0.845000625,7.5
ram_samp_1205,57.183,-2.85,7.5,0,1.005,0.048685443,6.887499974,1.248240269,21.58840645,390.79246,6.858333416,2.303999901,0.656000018,0.845000625,5.5
ram_samp_1206,27.0131,75.8758,0.1,0,0.609,0.047373409,24.98333311,1.237513197,152.6650654,645.0980522,14.69999981,0.381999999,0.254999995,0.379421711,6.4
ram_samp_1207,26.895,70.6883,0.1,0,0.181,0.047619772,27.45833317,1.207198711,162.8808061,644.2466823,15.73333295,0.098999999,0.055,0.48854807,8.5
ram_samp_1208,64.49,-157.75,0.3,0,0.344,0.046964554,-3.170833243,1.24694076,54.03463277,1402.952183,8.55833357,0.810000002,0.340000004,0.985403597,5.56
ram_samp_1209,64.49,-157.75,0.3,0,0.344,0.04881519,-3.170833243,1.253971461,54.03463277,1402.952183,8.55833357,0.810000002,0.340000004,0.985403597,5.56
ram_samp_1210,64.49,-157.75,0.3,0,0.344,0.047871688,-3.170833243,1.225778136,54.03463277,1402.952183,8.55833357,0.810000002,0.340000004,0.985403597,5.56
ram_samp_1211,64.49,-157.75,0.3,0,0.344,0.048494169,-3.170833243,1.26808578,54.03463277,1402.952183,8.55833357,0.810000002,0.340000004,0.985403597,5.56
ram_samp_1212,64.49,-157.75,0.3,0,0.344,0.048292163,-3.170833243,1.21425073,54.03463277,1402.952183,8.55833357,0.810000002,0.340000004,0.985403597,5.56
ram_samp_1213,64.49,-157.75,0.3,0,0.344,0.0471044,-3.170833243,1.241182103,54.03463277,1402.952183,8.55833357,0.810000002,0.340000004,0.985403597,5.56
ram_samp_1214,64.49,-157.75,0.3,0,0.344,0.048748955,-3.170833243,1.20353781,54.03463277,1402.952183,8.55833357,0.810000002,0.340000004,0.985403597,5.56
ram_samp_1215,64.49,-157.75,0.3,0,0.344,0.049739655,-3.170833243,1.321592594,54.03463277,1402.952183,8.55833357,0.810000002,0.340000004,0.985403597,5.56
ram_samp_1216,64.49,-157.75,0.3,0,0.344,0.048854467,-3.170833243,1.194460329,54.03463277,1402.952183,8.55833357,0.810000002,0.340000004,0.985403597,5.56
ram_samp_1217,64.49,-157.75,0.3,0,0.344,0.047270897,-3.170833243,1.230978047,54.03463277,1402.952183,8.55833357,0.810000002,0.340000004,0.985403597,5.56
ram_samp_1218,64.49,-157.75,0.3,0,0.344,0.048162553,-3.170833243,1.210387259,54.03463277,1402.952183,8.55833357,0.810000002,0.340000004,0.985403597,5.56
