"","pC","cn","pH","NPP","map","mat","forest","conifer","relEM","P","K","Ca","Mg"
"SRR1502577",4.163749644,17.75921327,4.26,0.52,6.2363695902037,2.69166666641831,1,0,100,1.684455476,1.876813111,3.103647935,1.871080345
"SRR1502578",21.87198318,25.3059072,3.18,0.52,6.24610676548156,2.6708333529532,1,1,100,1.392451856,2.207400793,2.707125521,1.837397638
"SRR1502581",13.38639514,15.30104349,5.61,0.36,6.39859493453521,16.0499999920527,1,0,90,1.221273964,2.538760304,3.540454041,2.658555357
"SRR1502587",7.765118777,33.42378398,4.61,0.04,6.93731408122368,11.5458332399527,1,1,99,0.150931744,2.38828946,3.053126239,2.237418692
"SRR1502588",3.564753743,11.44343895,5.84,0.22,6.41999492814714,16.1208332615594,1,0,100,-1.090478496,2.199560013,3.239129615,2.617378986
"SRR1502589",10.1298381,25.79012315,3.57,0.44,7.05358572719368,3.76666669050852,1,0,99,0.910605885,1.847938648,2.791334965,1.98775169
"SRR1502590",42.36462706,39.11273807,3.65,0.44,7.11314210870709,4.05416672180096,1,1,99,1.66369492,2.576396713,3.508617148,2.766550375
"SRR1502596",15.84711473,17.90062693,3.48,1.17,7.72356247227797,21.0000000794729,1,0,70,0.818094687,2.103804762,2.596096455,2.418929824
"SRR1502597",12.02791976,20.53648311,3.99,1.17,7.65302041380419,22.375,1,1,70,0.985789056,2.249384265,2.874225732,2.605189976
"SRR1502617",38.6353379,33.23279907,5.01,0.3,6.22257626807137,6.55000009139379,1,0,60,1.371074649,2.517560868,3.416320937,2.550134449
"SRR1502618",7.803513517,12.66939666,5.07,0.55,6.52209279817015,3.2833334133029,1,0,70,1.392557678,2.489686873,3.401399568,2.530422038
"SRR1502619",6.638722982,11.96079465,4.99,0.55,6.53958595561767,3.46249983211358,1,1,80,1.376161314,2.453318075,3.379716088,2.504598254
"SRR1502626",9.725277105,28.14369728,3.6,0.7,7.05444965813294,14.7583332707485,1,0,62.5,0.790051668,2.339485925,2.501851383,1.763149025
"SRR1502627",5.260500245,19.26439883,5.13,0.67,7.0604763659998,14.8250000476837,1,1,60.8,-0.64858176,1.676818206,2.903082782,2.181189688
"SRR1502628",4.471490522,25.3165587,4.38,0.71,7.04315991598834,14.9791666318973,1,1,74.1,-0.738736528,1.673813613,2.660150753,2.034155386
"SRR1502637",27.7532551,14.86811156,5.63,0.57,6.39359075395063,6.8124999764065,1,0,94,1.268974961,2.198767792,3.490596635,2.555302947
"SRR1502638",17.28707617,12.60424999,6.25,0.57,6.4281052726846,6.57083331545194,1,0,63,1.536868475,1.87854156,3.481291024,2.625455544
"SRR1502639",9.364469184,16.27943128,5.13,0.67,7.69530313496357,14.4500000458211,1,1,99,0.294934318,2.604635214,3.510540928,2.492318638
"SRR1502640",14.19621172,17.28385367,5.7,0.54,7.68294316987829,16.2541668812434,1,1,99,1.069733362,2.524576247,3.67488793,2.936747746
"SRR1502641",14.65997243,14.67631738,5.64,0.54,7.69530313496357,14.7958334088326,1,0,100,1.385620863,2.482926361,3.644957974,2.706420729
"SRR1502642",11.79921665,17.36739366,5.15,0.67,7.64300363556072,12.8249999194716,1,1,99,0.890560304,2.43068274,3.538431291,2.440603769
"SRR1502643",3.560354287,13.1765869,5.39,0.6,7.5595594960077,21.9333333174388,0,0,99,1.325628324,2.279898833,3.073874924,2.396469729
"SRR1502644",2.667410619,12.70143201,5.46,0.6,7.33236920592906,21.2999997933706,0,0,99,1.255381871,2.121772367,3.110406356,2.297959169
"SRR1502654",4.742015191,16.2705622,3.81,0.54,6.42971947803914,5.41666672565043,1,1,100,1.478864585,2.220929118,2.873986617,2.225984354
"SRR1502655",4.851869074,14.70463604,5.22,0.54,6.4281052726846,5.3875001280879,1,1,100,0.739407021,1.945168827,3.250749048,2.366892232
"SRR1502656",2.662825944,13.06699453,4.48,0.57,6.50279004591562,5.0500000367562,1,0,100,1.947567123,2.402118635,2.641056342,1.911965945
"SRR1502657",16.61656427,13.71456993,6.35,0.59,6.43294009273918,5.36666678885619,1,0,100,1.676868836,2.225983764,2.43144384,3.753929153
"SRR1502658",4.758334281,14.3255571,6.06,0.57,6.43133108193348,5.37083333513389,1,0,100,2.228193356,2.341150472,2.202558592,2.967632505
"SRR1502659",13.8851644,21.43513508,2.76,0.78,7.12205988162914,22.7916666666667,1,0,98,1.434746221,2.161214731,2.192647749,2.457265756
"SRR1502667",16.12438289,26.27572164,3.01,0.35,6.51025834052315,-0.0124999682108561,1,0,100,1.363415396,2.15972291,1.819146243,2.259269915
"SRR1502671",2.720135473,28.60226788,3.71,0.45,6.46769872610435,4.72500005364418,1,1,100,1.01778232,1.548539201,0.937254945,2.017623525
"SRR1502672",17.86333561,29.18539296,3.4,0.35,6.48157712927643,0.0208333308498065,1,0,100,1.299265247,2.34036547,2.058448658,2.547200512
"SRR1502673",17.7803539,30.20796806,5.44,0.04,6.79122146272619,11.1125000476216,1,1,95,1.578649322,2.235207377,1.932400825,3.179593321
"SRR1502674",19.48385646,22.10530021,5.78,0.03,6.25575004175337,4.97083333631357,1,1,80,1.889719498,2.530039077,2.378913404,3.582566803
