"";"siteID";"study_id";"plotID";"sampleID";"pH";"pC";"cn";"deprecatedVialID";"relEM";"map";"mat";"ndep.glob";"NPP";"forest"
"HARV_004-O-9-34-20140812";"HARV";200;"HARV_004";"HARV_004-O-9-34-20140812";4.62518444380406;13.8650830904477;20.536518995453;"HARV.004.21.9.34.O.20140812";-0.197376012102776;1.105;7.47083342075348;8.907954;0.626999974250793;1
"HARV_010-M-2-0-20140715";"HARV";200;"HARV_010";"HARV_010-M-2-0-20140715";4.58623654932062;2.63;23.7;"HARV.010.21.2.0.M.20140715";6.41290801331349;1.105;7.47083342075348;8.907954;0.626999974250793;1
"HARV_010-M-39-30-20140715";"HARV";200;"HARV_010";"HARV_010-M-39-30-20140715";4.58623654932062;3.81;27.2;"HARV.010.41.39.30.M.20140715";6.41290801331349;1.105;7.47083342075348;8.907954;0.626999974250793;1
"HARV_010-M-8-11-20140715";"HARV";200;"HARV_010";"HARV_010-M-8-11-20140715";4.58623654932062;3.84;26.1;"HARV.010.21.8.11.M.20140715";6.41290801331349;1.105;7.47083342075348;8.907954;0.626999974250793;1
"HARV_010-O-2-0-20140715";"HARV";200;"HARV_010";"HARV_010-O-2-0-20140715";4.58623654932062;33.18;26.5;"HARV.010.21.2.0.O.20140715";6.41290801331349;1.105;7.47083342075348;8.907954;0.626999974250793;1
"HARV_010-O-39-30-20140715";"HARV";200;"HARV_010";"HARV_010-O-39-30-20140715";4.58623654932062;25.34;26.1;"HARV.010.41.39.30.O.20140715";6.41290801331349;1.105;7.47083342075348;8.907954;0.626999974250793;1
"HARV_010-O-8-11-20140715";"HARV";200;"HARV_010";"HARV_010-O-8-11-20140715";4.58623654932062;33.51;24.6;"HARV.010.21.8.11.O.20140715";6.41290801331349;1.105;7.47083342075348;8.907954;0.626999974250793;1
"HARV_013-M-0-13-20140812";"HARV";200;"HARV_013";"HARV_013-M-0-13-20140812";4.58441332414236;5.62946693586721;19.7446361909956;"HARV.013.21.0.13.M.20140812";2.93389332167178;1.105;7.47083342075348;8.907954;0.626999974250793;1
"HARV_013-M-14-6-20140812";"HARV";200;"HARV_013";"HARV_013-M-14-6-20140812";4.58441332414236;5.62946693586721;19.7446361909956;"HARV.013.21.14.6.M.20140812";2.93389332167178;1.105;7.47083342075348;8.907954;0.626999974250793;1
"HARV_013-M-15-7-20140717";"HARV";200;"HARV_013";"HARV_013-M-15-7-20140717";4.58441332414236;1.78;16.6;"HARV.013.21.15.7.M.20140717";2.93389332167178;1.105;7.47083342075348;8.907954;0.626999974250793;1
"HARV_013-M-28-3-20140812";"HARV";200;"HARV_013";"HARV_013-M-28-3-20140812";4.58441332414236;5.62946693586721;19.7446361909956;"HARV.013.23.28.3.M.20140812";2.93389332167178;1.105;7.47083342075348;8.907954;0.626999974250793;1
"HARV_013-M-4-7-20140717";"HARV";200;"HARV_013";"HARV_013-M-4-7-20140717";4.58441332414236;1.91;19;"HARV.013.21.4.7.M.20140717";2.93389332167178;1.105;7.47083342075348;8.907954;0.626999974250793;1
"HARV_013-O-0-13-20140812";"HARV";200;"HARV_013";"HARV_013-O-0-13-20140812";4.58441332414236;5.62946693586721;19.7446361909956;"HARV.013.21.0.13.O.20140812";2.93389332167178;1.105;7.47083342075348;8.907954;0.626999974250793;1
"HARV_013-O-14-6-20140812";"HARV";200;"HARV_013";"HARV_013-O-14-6-20140812";4.58441332414236;5.62946693586721;19.7446361909956;"HARV.013.21.14.6.O.20140812";2.93389332167178;1.105;7.47083342075348;8.907954;0.626999974250793;1
"HARV_013-O-15-7-20140717";"HARV";200;"HARV_013";"HARV_013-O-15-7-20140717";4.58441332414236;7.89;20;"HARV.013.21.15.7.O.20140717";2.93389332167178;1.105;7.47083342075348;8.907954;0.626999974250793;1
"HARV_013-O-28-3-20140812";"HARV";200;"HARV_013";"HARV_013-O-28-3-20140812";4.58441332414236;5.62946693586721;19.7446361909956;"HARV.013.23.28.3.O.20140812";2.93389332167178;1.105;7.47083342075348;8.907954;0.626999974250793;1
"HARV_013-O-33-11-20140716";"HARV";200;"HARV_013";"HARV_013-O-33-11-20140716";4.58441332414236;5.62946693586721;19.7446361909956;"HARV.013.23.33.11.O.20140716";2.93389332167178;1.105;7.47083342075348;8.907954;0.626999974250793;1
"HARV_016-M-0-30-20140715";"HARV";200;"HARV_016";"HARV_016-M-0-30-20140715";4.50607405398531;4.19;16.5;"HARV.016.39.0.30.M.20140715";4.10163608815551;1.105;7.47083342075348;8.907954;0.626999974250793;1
"HARV_016-M-16-7-20140715";"HARV";200;"HARV_016";"HARV_016-M-16-7-20140715";4.50607405398531;5.44;17.9;"HARV.016.21.16.7.M.20140715";4.10163608815551;1.105;7.47083342075348;8.907954;0.626999974250793;1
"HARV_016-O-0-30-20140715";"HARV";200;"HARV_016";"HARV_016-O-0-30-20140715";4.50607405398531;45.2;24.1;"HARV.016.39.0.30.O.20140715";4.10163608815551;1.105;7.47083342075348;8.907954;0.626999974250793;1
"HARV_016-O-16-7-20140715";"HARV";200;"HARV_016";"HARV_016-O-16-7-20140715";4.50607405398531;39.68;23;"HARV.016.21.16.7.O.20140715";4.10163608815551;1.105;7.47083342075348;8.907954;0.626999974250793;1
"HARV_020-M-12-33-20140812";"HARV";200;"HARV_020";"HARV_020-M-12-33-20140812";4.58623654932062;2.4011996699205;23.3517021829665;"HARV.020.39.12.33.M.20140812";-6.19819675642159;1.105;7.47083342075348;8.907954;0.626999974250793;1
"HARV_020-M-30-27-20140812";"HARV";200;"HARV_020";"HARV_020-M-30-27-20140812";4.58623654932062;2.4011996699205;23.3517021829665;"HARV.020.41.30.27.M.20140812";-6.19819675642159;1.105;7.47083342075348;8.907954;0.626999974250793;1
"HARV_020-M-37-22-20140812";"HARV";200;"HARV_020";"HARV_020-M-37-22-20140812";4.58623654932062;2.4011996699205;23.3517021829665;"HARV.020.41.37.22.M.20140812";-6.19819675642159;1.105;7.47083342075348;8.907954;0.626999974250793;1
"HARV_020-O-12-33-20140812";"HARV";200;"HARV_020";"HARV_020-O-12-33-20140812";4.58623654932062;2.4011996699205;23.3517021829665;"HARV.020.39.12.33.O.20140812";-6.19819675642159;1.105;7.47083342075348;8.907954;0.626999974250793;1
"HARV_020-O-30-27-20140812";"HARV";200;"HARV_020";"HARV_020-O-30-27-20140812";4.58623654932062;2.4011996699205;23.3517021829665;"HARV.020.41.30.27.O.20140812";-6.19819675642159;1.105;7.47083342075348;8.907954;0.626999974250793;1
"HARV_020-O-37-22-20140812";"HARV";200;"HARV_020";"HARV_020-O-37-22-20140812";4.58623654932062;2.4011996699205;23.3517021829665;"HARV.020.41.37.22.O.20140812";-6.19819675642159;1.105;7.47083342075348;8.907954;0.626999974250793;1
