"","other","assim_nitrate_reduction","assim_nitrite_reduction","cellulolytic","chitinolytic","copiotroph","denitrification","dissim_nitrate_reduction","dissim_nitrite_reduction","lignolytic","methanotroph","n_fixation","nitrification","oligotroph"
"ram_samp_168",0.888785,0.00210239,0.00328076,0.00318299,0.00940231,0.0325786,0.00700838,0.00525282,0.00808473,0.00129084,0.000200225,0.00484062,0.00102479,0.0329622
"ram_samp_169",0.889723,0.00201445,0.00318087,0.00312503,0.00904967,0.0321944,0.00685009,0.00519049,0.00792009,0.00123041,0.000211279,0.00483168,0.000989947,0.0334862
"ram_samp_170",0.892377,0.00177138,0.00290062,0.00295516,0.00806833,0.0311249,0.00636931,0.0049904,0.00741932,0.00107772,0.000246979,0.00480052,0.00088335,0.0350163
"ram_samp_171",0.891885,0.00181751,0.00295547,0.00298774,0.00825965,0.031363,0.00645448,0.00502408,0.0075089,0.00111095,0.000238986,0.00480525,0.000900697,0.0346919
"ram_samp_172",0.890777,0.00191765,0.0030705,0.00305883,0.00866181,0.0317832,0.00666204,0.00511292,0.00772468,0.00116951,0.000224312,0.00481971,0.000947662,0.0340711
"ram_samp_173",0.891008,0.00189715,0.00304779,0.00304394,0.00858242,0.0317191,0.00661313,0.00509038,0.00767435,0.00116113,0.000226868,0.00481563,0.000935569,0.0341812
"ram_samp_174",0.8893,0.0020536,0.00322508,0.0031513,0.00920549,0.0323557,0.00692497,0.00522113,0.00799773,0.00125508,0.000206388,0.00483637,0.001007,0.0332579
"ram_samp_175",0.890731,0.00192177,0.00307522,0.00306168,0.00867837,0.031801,0.00667012,0.00511627,0.00773309,0.0011721,0.000223729,0.00482023,0.000949462,0.0340456
"ram_samp_176",0.892346,0.00177512,0.00290585,0.00295725,0.00808672,0.0311677,0.0063687,0.00498796,0.00741926,0.00108427,0.000245924,0.00479955,0.000882069,0.0349733
"ram_samp_177",0.8902,0.00197172,0.00313324,0.00309539,0.00888229,0.0320407,0.00675892,0.00515074,0.00782603,0.00120819,0.000216486,0.00482499,0.000968091,0.0337229
"ram_samp_178",0.891954,0.0018098,0.00294562,0.00298284,0.00822509,0.0313024,0.00644725,0.00502325,0.00750077,0.00110181,0.000240637,0.0048057,0.000900294,0.0347604
