"","mean.other","mean.Mortierellaceae","mean.Piskurozymaceae","mean.Trimorphomycetaceae","mean.Umbelopsidaceae","mean.Russulaceae","mean.Hypocreaceae","mean.Aspergillaceae","mean.Herpotrichiellaceae","mean.Clavulinaceae","mean.Chaetomiaceae","mean.Atheliaceae","mean.Cortinariaceae","mean.Inocybaceae","mean.Sebacinaceae","mean.Helotiaceae","mean.Thelephoraceae","mean.Tricholomataceae","mean.Pyronemataceae","mean.Gloniaceae","mean.Helotiales_fam_Incertae_sedis"
"TALL_001-M-15-1-20140804",0.311299369542292,0.140412704596721,0.0187909317788871,0.0239640935845261,0.0646504040773455,0.0181910355750644,0.0315043256139822,0.0290087821137525,0.0669714783468089,0.0175430557957098,0.0196139263729456,0.0199210806443777,0.0408182382770935,0.0376781440110354,0.0125980564099389,0.0264992876133215,0.027494507763498,0.0273521566206639,0.0229699157545615,0.0183700208018386,0.024348484705635
"TALL_001-M-22-32-20140708",0.310597639369647,0.134116353058738,0.0179758516233637,0.0235468107462137,0.0691694881654112,0.0167169869822786,0.0310543214699178,0.0293667115027834,0.0718363160393217,0.0178736977792716,0.0180233576915402,0.022650279059628,0.0446186380137894,0.0334122748502924,0.0115683777047817,0.0282362942332081,0.0257947469056254,0.0285737522760802,0.0227580059792889,0.0191267597441177,0.0229833368047014
"TALL_001-M-30-37-20140708",0.255174968656784,0.0886500420862315,0.00994258569887017,0.0156475680712352,0.116506797577539,0.00967912223464213,0.0267696990921809,0.02653320819877,0.0945892580610007,0.0138782250046745,0.0104231351021358,0.0315818268477173,0.126802373633072,0.0293943476543211,0.005556255434723,0.0405625128735135,0.0184091526250471,0.0254220207833824,0.0191736083543617,0.0185346450013361,0.0167686470084623
"TALL_001-M-7-0-20140708",0.310166548762785,0.156659975989808,0.0223777860959846,0.0260064670127985,0.0654606201806607,0.0200587145313977,0.0322988803258417,0.0286443437939425,0.0632076884767996,0.0168566064908901,0.0205453874805213,0.0192112183352835,0.0335721782987942,0.0303587476569323,0.0116954952530999,0.0261286747616917,0.0244995760948486,0.0271398962039809,0.0219977223292399,0.0181221518045721,0.0249913201201269
"TALL_001-O-30-37-20140708",0.316045927081714,0.151295704623648,0.0232075786207526,0.0285297677297156,0.0548679958154247,0.0197476048701627,0.0320726075104048,0.0304836896882476,0.0645227747710725,0.0203101473617936,0.0209640841739821,0.0214609518057143,0.0270381349543284,0.0265616354196378,0.0143725615629033,0.0241498469271875,0.0259762212598693,0.0314642492022029,0.0230482495571307,0.0197208753072457,0.0241593917568629
"TALL_001-O-7-0-20140708",0.310062920972542,0.132310229753497,0.0181088077239494,0.0239388152095286,0.0702993247616658,0.0164220358233323,0.031025794569519,0.0297012958803063,0.0736092539542676,0.0183351353337777,0.0175752930379287,0.0240070788180993,0.044836145188978,0.0305494966985942,0.0113584114038737,0.0286954882678762,0.0249631178235042,0.0296243015596153,0.0225829734613723,0.0196070849183237,0.0223869948394486
"TALL_002-M-10-34-20140708",0.295718054759674,0.0904217548119772,0.0125419158405525,0.0194151977960374,0.0365975810708208,0.0297390732113472,0.0257330671044902,0.0263586005396067,0.0575705666720775,0.0221012594583287,0.0192169158000513,0.0196220485392247,0.0410306405007398,0.100992912913271,0.0250667783714716,0.0202910594745394,0.0629356957496416,0.0258527918718656,0.0272010840560187,0.0190200202347773,0.0225729812234863
"TALL_002-M-19-1-20140804",0.301321877288272,0.107324354911294,0.0164143556264687,0.0223410139796167,0.051258519882886,0.0339480498809403,0.0279798913767086,0.0272782619592625,0.0618225096108753,0.0204950280958559,0.0188276157133812,0.0226557351909391,0.0445036770024194,0.0608451241602703,0.0179679553880759,0.0240744258936392,0.0465734447867058,0.0269115915652135,0.0249334008482584,0.0198312921038561,0.022691874735061
"TALL_002-M-25-6-20140708",0.302690832266989,0.108789620352899,0.0168139586617435,0.022756873334348,0.0486534036679539,0.0346712423857406,0.0281379557632029,0.0274088157159273,0.0604283037868226,0.0207900817096296,0.0193373730270048,0.0220089498852816,0.0410092143892437,0.0616909230712056,0.0188299140005125,0.023297033008496,0.0475667658274347,0.0270891189998478,0.0252098626854192,0.0197516767082632,0.0230680807520346
"TALL_002-M-3-28-20140804",0.299044386837126,0.0968409592875602,0.0139460027539998,0.0205571493358127,0.0431615888196449,0.0313728444256546,0.0267725421121928,0.0268929961077924,0.0603286081896835,0.0214526005862336,0.0189462313004728,0.0210630266450823,0.0441131123281249,0.0818705827776425,0.0215260413360736,0.0220829558216148,0.0552617863334514,0.0264874825743863,0.0262273987069236,0.0195001422344585,0.0225515614860685
