"","mean.other","mean.Mortierellaceae","mean.Piskurozymaceae","mean.Trimorphomycetaceae","mean.Umbelopsidaceae","mean.Russulaceae","mean.Hypocreaceae","mean.Aspergillaceae","mean.Herpotrichiellaceae","mean.Clavulinaceae","mean.Chaetomiaceae","mean.Atheliaceae","mean.Cortinariaceae","mean.Inocybaceae","mean.Sebacinaceae","mean.Helotiaceae","mean.Thelephoraceae","mean.Tricholomataceae","mean.Pyronemataceae","mean.Gloniaceae","mean.Helotiales_fam_Incertae_sedis"
"ORNL_021",0.301198047986956,0.21636438249862,0.0263472057610582,0.028293632087443,0.0421182406306423,0.0126581208783266,0.0314969220358999,0.0255776643513221,0.0424435970858293,0.0166377561787012,0.0273835275820939,0.0141276048957619,0.0179785312459808,0.0421295613800849,0.0181348714987846,0.0195250360274835,0.0257215425060802,0.0256046395752091,0.0202456122285668,0.0171861235905382,0.0288273799746183
"ORNL_029",0.292238558796367,0.15803089148281,0.0237262895142787,0.0267003696019718,0.0381278334475032,0.0298129906043193,0.0278899607962026,0.0238318455702441,0.0405340659963219,0.0200454468943028,0.0245445888218135,0.0186557394552169,0.0231942785071283,0.0686436020092872,0.0249933759589609,0.0191198791098429,0.0463875104941813,0.0260735542319995,0.0220050615179369,0.0190608497045663,0.0263833074847449
"ORNL_031",0.294826612364097,0.261578481563222,0.0279750667923028,0.0279226859425583,0.0443884546759799,0.00636543517497945,0.0333471293788493,0.0256136846269345,0.0414389919936927,0.0139285258756066,0.0283478382475633,0.0111648336157907,0.0148672595657837,0.0309700534467038,0.0139379242763824,0.019239227764003,0.0160846758262632,0.0245031800199602,0.0184405992461645,0.0151134331890916,0.0299459064140707
"ORNL_037",0.274523782335944,0.124311440217342,0.0227534622394853,0.0256922865248416,0.0391003951635267,0.0567628104712858,0.0248947956736163,0.0223389247959425,0.0404088097726148,0.0216958963251552,0.0208963846234846,0.0242420407001987,0.0318635586829926,0.0732431227893694,0.0253274835433646,0.0198065531048288,0.060768895067612,0.0256837453563968,0.0216608921152787,0.0208534797676895,0.0231712407290304
"ORNL_043",0.286397301588514,0.138556291125116,0.023733047241791,0.0261842925264352,0.0380495113644761,0.0482287935417499,0.0262134916644239,0.0232223490164091,0.0400165028409739,0.0208633211568552,0.0222428630881219,0.0219220581178524,0.0249606698580461,0.0685160887607942,0.0240753931537935,0.0195031509141524,0.0550241327619257,0.0256483580231408,0.0218073200914181,0.0203479373236837,0.0244871258403269
"OSBS_001",0.251971461673346,0.0818458674278578,0.0146596725492877,0.0257997901982235,0.0534015735573738,0.105077597797656,0.0230173426463482,0.0219844455421991,0.053752783095463,0.0216876610387133,0.0146764610955538,0.0288730004813667,0.0491314672651058,0.0648473940902436,0.0148904853645664,0.0184796358856312,0.0679608210965947,0.0277425058344854,0.0191224908164732,0.0242382482833219,0.016839294260189
"OSBS_002",0.238656517176062,0.0635566522721205,0.00987426824052062,0.0206360474775239,0.0388705933124664,0.0853320992285381,0.0203870827188015,0.0201374458838868,0.0514893468317782,0.0226477527487318,0.0144033611599312,0.0261341634123507,0.0593132277854507,0.113427597860248,0.0209196710070024,0.0160073946135165,0.0930803572557784,0.0257491197477926,0.0206706606514215,0.02265966211515,0.0160469785009285
"OSBS_003",0.284432938412388,0.098734991701006,0.012884090552129,0.0246447452868106,0.0613912181249138,0.0457127752612795,0.0258669495859889,0.0243413271204248,0.0643562175222185,0.0202903092481884,0.0154265666700877,0.0259321974872968,0.0549658661687418,0.0637411357215653,0.0129036867050118,0.020822414707588,0.0513236481541152,0.0295734888255377,0.0202904760031076,0.0236535883445869,0.0187113683970142
"OSBS_022",0.249021262380413,0.0924405354214738,0.017678778572358,0.0290360491533686,0.0420358840010203,0.119846345704827,0.0237122257649931,0.0218081030784203,0.0458546490128863,0.0225734311477054,0.0172982959267709,0.023465886363703,0.0295348500230326,0.0699116757748551,0.0184511346712718,0.0152783963699811,0.0738396464997833,0.0273815907470701,0.0193958047736009,0.0231534976713631,0.0182819569411021
"SCBI_002",0.325490591387597,0.212211369072937,0.0263628170735369,0.0266440365236527,0.0237606351275692,0.010788726137174,0.0328422919408441,0.0258180387129292,0.0315826945214168,0.0172811099472001,0.0311637808770283,0.00753192274957109,0.0117184593590213,0.0503092247789524,0.0292731405424348,0.0140722397728078,0.0271615791897915,0.0255312625557741,0.0240396212079892,0.018908041632363,0.0275084168894095
"SCBI_003",0.309114382957663,0.141003871066699,0.0240881562880912,0.0253862815951703,0.0210331368949646,0.0370859661835099,0.0274536414905708,0.0233955285103677,0.0297388184528348,0.0213733210198658,0.0265440821066371,0.0108937248565593,0.0162164764891543,0.0808498286403804,0.0409920440170246,0.0135508951907476,0.0552424534010722,0.0252942202817087,0.0254613852359901,0.0218435333038857,0.0234382520171033
"SCBI_006",0.324908750178246,0.213133503157363,0.0263979356295994,0.0266673122619746,0.0229632199215926,0.0106208716633124,0.0327369085530682,0.0257884198003382,0.0310550405549374,0.0173187548475798,0.031561805448874,0.00737415754919315,0.0112839852790287,0.0508462126052458,0.0300820088613828,0.0138474954442109,0.027340427732624,0.0254070328659557,0.0241180631496108,0.0187710235797917,0.0277770709160708
"SCBI_012",0.325152030998862,0.209339299155683,0.0255578139478653,0.0263401590132027,0.0222833533546875,0.0105275505267619,0.0325535470911198,0.0256988621628195,0.0309986870335759,0.0174630306008887,0.0316417796290012,0.00726235568536081,0.0113032025133304,0.0544396833527633,0.0311811147366424,0.0136291833084509,0.0284127719252172,0.0253410112218304,0.0244377475796926,0.018688814941735,0.0277480012205093
"SCBI_033",0.324505221198343,0.217013693338457,0.0272923990700957,0.0272221708165671,0.0242329456077043,0.0108257737604732,0.0330676239710136,0.0258848258485712,0.0315619197960881,0.017096281209693,0.0311789522885656,0.00755812521960425,0.0114645852023675,0.0468873945173047,0.0283234698739875,0.0141341545032292,0.0260272272898268,0.0255694365974594,0.0237866055006692,0.0188260610369415,0.0275411333530374
"SCBI_045",0.324446565323192,0.223013275330198,0.0279909023043354,0.0275057503380475,0.0261913605131511,0.0104468351647685,0.0334465091326282,0.0260000984991086,0.0322249686420378,0.0166826927787757,0.0305254189640819,0.00774222024575984,0.0118415568535796,0.042136828090039,0.0259976919075759,0.0147239385505583,0.0239702173502566,0.0256679936671017,0.0231932248202873,0.0188826737577453,0.0273692777667713
"STER_005",0.408447059877775,0.0746262096783839,0.0319524162149926,0.0198924708771273,0.020466767140534,0.00974194543865674,0.027242871341492,0.027009750664253,0.0262226363257191,0.0193886863146701,0.0398791059771392,0.011070107235133,0.0126472328889771,0.0662128355268791,0.034718608300662,0.0222036735452528,0.0447743699719317,0.0225966952832861,0.0312509103737608,0.01834474849765,0.0313108985257243
"STER_006",0.412508341886679,0.0880277956527986,0.0416024868235993,0.0229749341657605,0.0269520159304917,0.0111597801946085,0.0292891356160779,0.027789649315114,0.0272625421322838,0.0182590192253572,0.0396154216882786,0.0124120949646981,0.0127557504826021,0.0414958317375198,0.0262214191274918,0.0251017302555858,0.0338992347886488,0.0233530739666832,0.0287528215151412,0.0188928364275111,0.031674084103069
"STER_007",0.411252087471943,0.0790241563323944,0.0351474969188091,0.0210934225894238,0.0237542924404932,0.0102157119524799,0.0281317604221686,0.0273924667997144,0.0272884303922948,0.0188973264784402,0.0389505405772567,0.0118626108486793,0.0133232390308281,0.0557141819213548,0.0306124679527306,0.0239540188564102,0.0402599308100985,0.023104398941482,0.0301553008779135,0.0187587793281825,0.0311073790569027
"STER_018",0.407654715759324,0.0737334170472839,0.0316184324639293,0.0197128562679279,0.0200439627769512,0.00968250216000046,0.0271165147555206,0.0268529198569153,0.026074666929558,0.0194211659916052,0.0399654856295199,0.0109471679493977,0.0126222197842125,0.0682960925002107,0.035539552515748,0.0218915460105863,0.0455790050250569,0.0224961847314441,0.0313315836946822,0.0182249409834504,0.0311950671666752
"STER_026",0.413610887101151,0.0853198552216309,0.0393844677913258,0.0222349458676632,0.0274044931430302,0.0107678554795718,0.0291709304249286,0.0278029499089596,0.0281364850033289,0.0183129171314394,0.0385936281374583,0.0126301053509375,0.0137240045205539,0.0437559532076962,0.0260645515260242,0.0256256252255701,0.0346963602802285,0.0234204615972839,0.0289696001784501,0.0191296970368339,0.0312442258659342
"STER_027",0.407552438852819,0.0747795568343208,0.0324634108868813,0.0201333478435273,0.0208793610092446,0.00980035320798853,0.0273004600811684,0.0269699024336446,0.0263053878552044,0.0192540755600055,0.0396918315395105,0.0111518526254816,0.0127410003086136,0.066494738187187,0.0343743541400193,0.0222144209244553,0.0447001481180166,0.0226199211001208,0.0310757163089321,0.0183786903354287,0.0311190318474303
"STER_028",0.40366255841146,0.0727961192321084,0.0311878199707422,0.0196388282634614,0.0188124666866861,0.00976525373718729,0.0267081850799006,0.0266408967790423,0.0253132642286504,0.0195251341308898,0.0407651779611799,0.0104862642039057,0.0118211024041718,0.0735150803248539,0.0377402233064832,0.0209710994294682,0.0477800624917348,0.0221987766979662,0.0314592480957887,0.0179550006575135,0.0312574379068057
"STER_029",0.411406884751107,0.0823798908371108,0.0374558766301666,0.0218028141276455,0.024237594238421,0.0106468599688365,0.0285278500142749,0.027555639412853,0.0268499407672913,0.0187700976408959,0.0397193236554888,0.0118470065723568,0.0127543436558938,0.0510600110050474,0.0295449749165746,0.0237961606071026,0.0383415574793832,0.0232009474314939,0.0297726874713568,0.0188280424279861,0.0315014963887137
"STER_031",0.411413638680875,0.0881229716309461,0.0418018360782633,0.0230954451148312,0.0261327625100996,0.0113566642945632,0.0293001154000724,0.0277358537252842,0.026886220350216,0.0184077555647855,0.0400586387372021,0.0120789646085506,0.0123919102366689,0.0427391483339904,0.0269330748738194,0.0244677070530131,0.0345093496374875,0.023183735940959,0.0288061402762462,0.018823630732083,0.0317544362200434
"STER_033",0.405056084546879,0.0739430014020435,0.0319370525233449,0.0198581613741434,0.019636668169392,0.00976395496525567,0.0269068392140426,0.0266652601497932,0.025523362262551,0.0193568473295432,0.0406281024238777,0.01070909177901,0.0120743769435281,0.0708419455843288,0.0363137684202983,0.0214080898209478,0.046315073372424,0.0222748245699354,0.0313197136009633,0.0181301526172016,0.0313376289304968
"STER_034",0.395093273751351,0.0620592297778789,0.0244900459676454,0.0168791497013066,0.0171250941591967,0.0081016825021793,0.024865572925202,0.0256615841367762,0.0257089253204882,0.0196478868394242,0.0378275057368977,0.010411507261287,0.0137494455218656,0.0999154700453077,0.0413367240523825,0.0205765251540927,0.0550916758681944,0.0217317645256062,0.032473799728092,0.0175898830628167,0.0296632539620092
