"","mean.other","mean.Mortierellomycota","mean.Basidiomycota","mean.Mucoromycota","mean.Ascomycota"
"HARV_020-O-37-22-20140812",0.109471772590836,0.304554488572977,0.102640087980876,0.122304925436902,0.361028725418409
"HARV_021-M-36-16-20140717",0.0647234881205039,0.136292431705422,0.456565668009608,0.08076800933243,0.261650402832037
"HARV_021-M-6-12-20140717",0.0607483022482792,0.137360031519789,0.48355595836675,0.0682177470075374,0.250117960857645
"HARV_021-O-3-37-20140717",0.0652581167776473,0.141558595184444,0.459760778849505,0.076774839303789,0.256647669884615
"HARV_021-O-36-16-20140717",0.0645893576069801,0.140920773226865,0.468048718791617,0.0738187719270779,0.25262237844746
"HARV_033-M-23-30-20140717",0.0772220783304619,0.190192340526637,0.372871519249792,0.0772992186920155,0.282414843201094
"HARV_033-M-30-38-20140717",0.0780133516045644,0.196739867027192,0.373910701231475,0.0740405900535844,0.277295490083184
"HARV_033-M-33-4-20140717",0.0760379777300396,0.191848031397917,0.37924621246763,0.0736779875960445,0.279189790808369
"HARV_033-O-23-30-20140717",0.0323107462769294,0.112763947221953,0.568176867518259,0.0318376293736713,0.254910809609187
"HARV_033-O-30-38-20140717",0.0324128836748363,0.115783377750739,0.571265421042198,0.0304593077710928,0.250079009761133
"HARV_034-M-23-8-20140717",0.069903940981302,0.158892686950717,0.439528668179274,0.0741116226224586,0.257563081266249
"HARV_034-M-31-3-20140717",0.0720366217255205,0.159355982521995,0.430151667864198,0.0784358212339671,0.260019906654319
"HARV_035-M-18-37-20140717",0.07350453914615,0.156377729131779,0.420084397578194,0.0846951034055739,0.265338230738303
"HARV_035-O-18-37-20140717",0.0301607015127897,0.0881992798744193,0.608059894958711,0.0357497464480939,0.237830377205986
"JERC_001-M-17-34-20140710",0.0443099558143774,0.0349746752002285,0.63723211024217,0.023918543800213,0.259564714943011
"JERC_001-M-29-2-20140710",0.0442539549046137,0.0349134134737358,0.637290015853375,0.0240024144462531,0.259540201322022
"JERC_001-M-7-5-20140805",0.0452263868251795,0.0359341031981908,0.633223487666107,0.0244848363706639,0.261131185939859
"JERC_001-M-9-17-20140805",0.044853605521548,0.0354861735704781,0.634487351683776,0.0242765675356157,0.260896301688583
"JERC_002-M-11-0-20140805",0.0488048837539061,0.0344965919217587,0.599028785156942,0.0325217622011274,0.285147976966266
"JERC_002-M-12-7-20140710",0.0478074543239892,0.0339362500677017,0.605975888446318,0.0310681392996306,0.28121226786236
"JERC_002-M-27-36-20140805",0.047030377115846,0.0332086590996065,0.611433645114906,0.0299225540583375,0.278404764611304
"JERC_002-M-30-5-20140805",0.0552740644667407,0.0388437339547039,0.568702505995604,0.0394307048464338,0.297748990736518
"JERC_003-M-1-7-20140805",0.0453467634972767,0.035388144470477,0.628375921608928,0.0256596079106973,0.265229562512621
"JERC_003-M-3-26-20140805",0.0501203949139965,0.0396535126151672,0.610116963910021,0.0287059659833698,0.271403162577446
"JERC_003-M-33-0-20140805",0.0411182416875236,0.0346803466540365,0.661894844036784,0.0193596553289534,0.242946912292703
"JERC_005-M-24-40-20140805",0.0525858647820556,0.0344439621690085,0.57283132071527,0.0396898078577005,0.300449044475966
"JERC_005-M-33-2-20140805",0.0460290960976981,0.0325905971375942,0.614883283342479,0.029235206235087,0.277261817187142
"JERC_005-M-4-9-20140805",0.0550041020690566,0.0325803862358393,0.546808413325428,0.0488687743021511,0.316738324067525
"JERC_006-M-15-33-20140710",0.0471797160165287,0.0342332679931161,0.614832571812526,0.0290552464538986,0.274699197723931
"JERC_006-M-2-0-20140805",0.0512736839434555,0.0364046550651761,0.589435862165784,0.0345322754751581,0.288353523350427
"JERC_006-M-21-39-20140710",0.0469802851319094,0.03429530954264,0.614374474801763,0.0288926629755709,0.275457267548116
"JERC_006-M-8-11-20140805",0.0471955320473584,0.0343955720140877,0.612730070055306,0.0293068244997755,0.276372001383473
"JERC_008-M-23-30-20140805",0.0395562777266567,0.0292878267121728,0.655592693248109,0.0213448659148444,0.254218336398217
"JERC_008-M-33-4-20140805",0.0464197619363333,0.0335931429072849,0.615281235636206,0.0287681605000664,0.27593769902011
"JERC_047-M-36-16-20140805",0.0455957093927281,0.0343209289723148,0.621803512043186,0.0262761814499424,0.272003668141829
"JERC_047-M-6-12-20140805",0.0435878395623386,0.0360668515291918,0.643544213109892,0.0215377347221547,0.255263361076423
"JERC_048-M-19-30-20140805",0.0467952729084814,0.033472006429907,0.609742418970081,0.0293190445721548,0.280671257119375
"JERC_048-M-31-3-20140805",0.0449770659882506,0.0344600131064161,0.62554956601979,0.0255688703819214,0.269444484503621
"JERC_049-M-2-27-20140805",0.0571294477844936,0.0382957012126845,0.547320298468378,0.0452594709215177,0.311995081612926
"ORNL_001-O-17-34-20140715",0.0668127040514421,0.176169390498027,0.378745356884371,0.0655709542037142,0.312701594362446
"ORNL_003-O-9-11-20140714",0.0721563547260042,0.180166780003742,0.353114818735707,0.0843417869196249,0.310220259614922
