"","mean.other","mean.Mortierellomycetes","mean.Tremellomycetes","mean.Umbelopsidomycetes","mean.Agaricomycetes","mean.Sordariomycetes","mean.Eurotiomycetes","mean.Leotiomycetes","mean.Pezizomycetes","mean.Dothideomycetes"
"HARV_013",0.0997894796391438,0.136710790118561,0.0544041320693928,0.0472611232967698,0.380022400693621,0.0543053018143411,0.0631661703996771,0.0786512789474447,0.0359902077185876,0.0496991153024611
"HARV_016",0.0908955675316926,0.131803946120042,0.0515478064575517,0.0421871119039642,0.408766713297896,0.0537245669088632,0.0632025449224693,0.0776391902903166,0.0327159287512231,0.0475166238159814
"HARV_020",0.161809708489109,0.262048408122011,0.0702183269824233,0.0896014128585218,0.0516226637105137,0.128777025210077,0.0747762064859376,0.110689117720186,0.0154225473331149,0.0350345830881063
"HARV_021",0.0918216680071686,0.118804192479795,0.0440095078289993,0.0522211844823215,0.417723351814985,0.0424387120725555,0.0694293274019743,0.0787884094383569,0.0380266397465255,0.0467370067273188
"HARV_033",0.104952293627377,0.153697780344331,0.0555574979060391,0.0483996308733793,0.334373771742073,0.0638932576904187,0.0716804270222927,0.0865672061555513,0.0319864289743517,0.0488917056641861
"HARV_034",0.0880784721695403,0.11898044102003,0.0434491148777524,0.0464874794160592,0.428585999045933,0.0440855256406722,0.0702064875775898,0.0784184975965082,0.0355721225494898,0.0461358601064248
"HARV_035",0.0885108034390695,0.11901409883032,0.0433294544472341,0.0485922524284182,0.425690955390885,0.0437795397673774,0.0704570303948684,0.0782720570248897,0.0357908467969015,0.0465629614800353
"JERC_001",0.0527913909321993,0.0219306347951376,0.0254452907445056,0.0143293179234761,0.618908557518429,0.0534489948428835,0.0538076403325823,0.0208356172760897,0.0572716422706582,0.0812309133640384
"JERC_002",0.0526468767731407,0.020255167125894,0.0213005517096338,0.0185992496806776,0.618347521726018,0.0428497613108028,0.0639557280184333,0.0228646057754,0.061688976840357,0.0774915610396424
"JERC_003",0.0530347457568792,0.0218177070931812,0.0250034581293603,0.0149363119195092,0.617700397543433,0.0522224233189421,0.0551452337201184,0.0211962826872639,0.0577536169014394,0.081189822929873
"JERC_005",0.0524698695865407,0.0204193421283911,0.0218263308842474,0.018124049403482,0.618054581720934,0.0443637966038406,0.0629838142496482,0.0224679517448992,0.0614305961908656,0.0778596674871507
