"","mean.other","mean.Saprotroph","mean.Ectomycorrhizal","mean.Wood_Saprotroph","mean.Animal_Pathogen","mean.Plant_Pathogen"
"ORNL_001-O-17-34-20140715",0.154639912695634,0.461104491290158,0.206178467928948,0.100220857254544,0.0301789751201295,0.0476772957105854
"ORNL_003-O-9-11-20140714",0.160925484322772,0.457054992405975,0.212698933527183,0.09614075301547,0.0297312375055799,0.0434485992230196
"ORNL_021-O-15-33-20140714",0.149225159094752,0.560072706488895,0.0656591470707196,0.119621737957859,0.030648016215032,0.0747732331727417
"ORNL_029-O-9-2-20140714",0.125353895915924,0.426962009789019,0.271502177809223,0.0988753999369021,0.0277147379219494,0.0495917786269821
"ORNL_031-O-11-3-20140714",0.140019251922228,0.587648506225275,0.0339700081767009,0.120731733838521,0.0293137890203701,0.0883167108169044
"ORNL_037-O-4-23-20140715",0.140919235718307,0.396738753656374,0.314901735408336,0.0859480157514907,0.026171994917768,0.0353202645477241
"ORNL_043-O-2-27-20140715",0.170635154362875,0.47853977879576,0.169974849994918,0.101503509810829,0.0316580314629804,0.0476886755726372
"OSBS_001-M-17-34-20140701",0.11302662635763,0.33927726407979,0.425086824720084,0.0733930233687013,0.0218666546103751,0.0273496068634203
"OSBS_001-M-17-34-20140818",0.0998914836924849,0.304335013163871,0.487189341945594,0.0651067765284689,0.0196022228964365,0.0238751617731443
"OSBS_001-M-26-3-20140701",0.103916593688382,0.318067594578745,0.462279750125359,0.0692168913305429,0.0206974309777626,0.0258217392992074
"OSBS_001-M-26-3-20140818",0.10011305318789,0.304490468276125,0.486723142060145,0.0650617063035594,0.0195661248601538,0.0240455053121261
"OSBS_001-M-29-2-20140701",0.101419589517824,0.309939644495553,0.475605388507887,0.0676172558036346,0.0201970665563268,0.0252210551187746
"OSBS_001-M-29-2-20140818",0.106143268008218,0.323380131931093,0.450394814387193,0.0716592040960789,0.0213452402749291,0.0270773413024887
"OSBS_002-M-12-7-20140701",0.0676698890401746,0.217116398583057,0.631867550984462,0.050268090690672,0.0146188611661262,0.0184592095355081
"OSBS_002-M-12-7-20140818",0.068166306711661,0.213200346146805,0.645307198430319,0.0438222381385313,0.0137022613248917,0.015801649247792
"OSBS_002-M-35-24-20140701",0.0737894145467983,0.232399989643082,0.605550377583997,0.0527244724512665,0.0158975844051328,0.0196381613697232
"OSBS_002-M-35-24-20140818",0.0762611053690321,0.24052376331311,0.596450401393233,0.0518204551097904,0.0158035155215621,0.0191407592932725
