"","mean.other","mean.Mortierella","mean.Solicoccozyma","mean.Saitozyma","mean.Umbelopsis","mean.Russula","mean.Trichoderma","mean.Penicillium","mean.Cortinarius","mean.Inocybe","mean.Sebacina","mean.Lactarius","mean.Cladophialophora","mean.Tomentella","mean.Mycena","mean.Cenococcum"
"SCBI_006-M-27-2-20140715",0.466383980845504,0.199085764125357,0.0232663509363788,0.0249424161556287,0.0212658339485082,0.0129187822677052,0.0315786753653569,0.025975833375006,0.0114972550012331,0.0567650878604016,0.0208355507705469,0.016800651244263,0.0221490044794579,0.0314080465349634,0.0169550500893707,0.0181717170003195
"SCBI_006-M-29-37-20140618",0.462767559370346,0.209629131418955,0.0253393172271089,0.0259625768667031,0.0232731081428818,0.0134164705755284,0.032030300625852,0.0260930223741717,0.0113714387100037,0.0472416376744852,0.0187658459137569,0.0174924749341873,0.022411257000086,0.0286115643542779,0.0173350173324611,0.0182592774791948
"SCBI_006-M-3-26-20140715",0.461351555210783,0.21317220489725,0.0260641631752276,0.0263345642738557,0.0239786411550455,0.0135514405744695,0.0322864280011792,0.0260783374713408,0.0113064940359769,0.0443546501405497,0.0181106361219962,0.0177039356888738,0.0224346824712618,0.0276435204446919,0.0174230388948597,0.0182057074426385
"SCBI_006-M-33-11-20140826",0.461719947896791,0.213127138837261,0.0262315745737309,0.0264008064610211,0.0237740084993518,0.0135284725863368,0.0322240044087432,0.0261619891049303,0.0112013245842697,0.0439509843390911,0.0182170217605134,0.0176742369282466,0.0224350926304802,0.0275948655927645,0.0175294655513583,0.0182290662451102
"SCBI_006-M-4-7-20140826",0.459813998458064,0.215835954628967,0.0266648960076587,0.0266916002229463,0.0241491772576943,0.0137415468692899,0.0322763917775299,0.0260614916838293,0.0110973807846598,0.0428069807331599,0.0178277702274756,0.0177442597280944,0.0224186070424065,0.0271414753812379,0.0175550505343436,0.0181734186626436
"SCBI_006-M-9-11-20140618",0.461581959186914,0.213217541629561,0.0261531890463402,0.0263126136369094,0.0238231832925591,0.0134752448301417,0.03216743710225,0.0260733665469386,0.0113016602767593,0.0444819525031901,0.0181484198588214,0.0176688886560998,0.0224069741252088,0.0275880584129697,0.0174142772768321,0.0181852336185047
"SCBI_012-M-0-30-20140825",0.461600132705313,0.212533865388489,0.0259075849193921,0.026188390901536,0.0236490241468224,0.013468719321457,0.0322221086595533,0.0260545426941023,0.0113108443967984,0.0454160683930977,0.0183099453316082,0.0176048976368547,0.0223597438291096,0.0278488740193756,0.0173215029060444,0.0182037547504465
"SCBI_012-M-15-33-20140618",0.467158872131803,0.194329727289816,0.0223283034739721,0.0244478981296678,0.0204467910157489,0.0127458340842834,0.0312125270861669,0.0259401962997574,0.0116187974167181,0.0618148618292452,0.0216369427224524,0.016548589854351,0.0220991598244893,0.032675756475074,0.0167938123852212,0.0182019299812324
"SCBI_012-M-16-7-20140825",0.462400040600327,0.208639243027378,0.0250698294926713,0.0257995862071752,0.0221973087101439,0.0133973236217242,0.0318811136391225,0.0259824050318505,0.011059808014998,0.0500646006317801,0.0195734905983569,0.0171281366440354,0.0222114010777102,0.0293710962742386,0.017177521785372,0.0180470946431168
"SCBI_012-M-19-40-20140715",0.467193407849389,0.194581905815179,0.0224111086826176,0.0244596469293671,0.0205543709820227,0.0127862121901622,0.0312612844452441,0.0259975316549128,0.0115820710899816,0.0614190233019259,0.0215233628688526,0.0165470835114052,0.0221108704430132,0.0325683511605822,0.0167990338386539,0.0182047352366909
