"","mean.other","mean.Mortierellomycetes","mean.Tremellomycetes","mean.Umbelopsidomycetes","mean.Agaricomycetes","mean.Sordariomycetes","mean.Eurotiomycetes","mean.Leotiomycetes","mean.Pezizomycetes","mean.Dothideomycetes"
"DSNY_016-M-6-12-20140813",0.0628917436929183,0.0393193021211484,0.0400796021011799,0.0201313432751169,0.51193820973307,0.0642604044868342,0.0596268344703505,0.0290776640936558,0.0426125327751549,0.130062363250571
"DSNY_043-M-18-37-20140814",0.05918701431063,0.0341923980167009,0.0308926715973245,0.0233220299779352,0.538395644216068,0.0490586492155271,0.0679711545978938,0.0296941415092376,0.0457794163074465,0.121506880251237
"DSNY_043-M-2-27-20140814",0.0479706745724649,0.0282760805550596,0.0230037141791604,0.0160497561337513,0.601421376482394,0.0434931126594318,0.0565070744269615,0.0228870972439262,0.0481658623168339,0.112225251430017
"HARV_001-M-14-7-20140812",0.0957509752174659,0.130688720499628,0.0489791625984066,0.0478343353541797,0.394550034952038,0.0491636212536059,0.0693713658992181,0.0799624327715982,0.0357660612491542,0.0479332902047058
"HARV_001-M-15-1-20140812",0.0954561997421852,0.130143601905675,0.0487712334768102,0.0484162160107373,0.395461568293806,0.0489663445865014,0.0691135982153935,0.0797770771922423,0.035973135888626,0.0479210246880229
"HARV_001-M-39-16-20140812",0.0957085389771994,0.130109314169467,0.0487107880990921,0.0483240495527248,0.395057931472853,0.0488566966885914,0.0691909814398658,0.0805319987058363,0.0357150810589163,0.047794619835454
"HARV_001-M-7-0-20140715",0.107502883785445,0.147114790201345,0.0581782263388772,0.0510765746233189,0.346173214591278,0.0575033121511176,0.0641693194033299,0.0816477902970016,0.0365348586229381,0.0500990299853487
"HARV_001-O-14-7-20140812",0.0952844818489448,0.130572488387817,0.0487092826429216,0.0480897932635105,0.395183939614551,0.049370284548008,0.0690782192206157,0.0801499167481766,0.0357254181646963,0.047836175560759
"HARV_001-O-15-1-20140812",0.0945602190799271,0.128531716326795,0.048436712096088,0.0478871130339916,0.398786869972611,0.0489838970982255,0.0693418993963734,0.0796288439505975,0.0358708881191803,0.0479718409262102
"HARV_002-M-24-40-20140716",0.116659123707699,0.170278901736524,0.0642268783500504,0.0512786164752423,0.288969272719161,0.0721274021979059,0.0667637309323608,0.0866767541506795,0.0325884216287273,0.050430898101649
"HARV_002-O-33-2-20140716",0.102733740633836,0.140581663066767,0.0455229239271967,0.0588938053910998,0.343856289683263,0.051034192509571,0.0844650089727341,0.0912832982475626,0.0345618621917104,0.0470672153762597
"HARV_004-M-19-1-20140812",0.130780900184738,0.21142639138559,0.0660852605458969,0.0576806801498575,0.186271658236506,0.0978508239970828,0.0776700971169701,0.0998186997771571,0.0250743722832145,0.047341116322988
