"","mean.other","mean.Saprotroph","mean.Ectomycorrhizal","mean.Wood_Saprotroph","mean.Animal_Pathogen","mean.Plant_Pathogen"
"STER_034",0.198623067014477,0.441646104741879,0.132595650722416,0.108264319687917,0.033809285058197,0.0850615727751136
"STER_035",0.19645014076966,0.440229263197906,0.130815007089133,0.110579346911233,0.034254530012121,0.0876717120199462
"TALL_001",0.173088008566125,0.543232523643991,0.0912811689559248,0.109207606779327,0.0289827229211135,0.054207969133519
"TALL_002",0.146291872229289,0.432532083748598,0.258963399361819,0.0941015167472419,0.0270378283179239,0.0410732995951287
"TALL_003",0.156386571482657,0.595705283882104,0.0248898400868121,0.118883614782013,0.0275667644689375,0.0765679252974762
"TALL_004",0.107780643651172,0.275581898857789,0.508698618369651,0.0638421687713562,0.0206625804132096,0.0234340899368234
"TALL_006",0.146905593765437,0.442899454994182,0.24196398953086,0.0974271211748591,0.0274176654103116,0.0433861751243512
"TALL_007",0.161596179288519,0.523161575002896,0.113252559364181,0.113680971480819,0.0301376841280612,0.058171030735524
"TALL_009",0.109193406289213,0.297539721527398,0.474396754328105,0.0702987007199711,0.0216469659147765,0.0269244512205355
"TALL_044",0.107682346968908,0.279716667211253,0.499912341585692,0.0667123318013404,0.0212444141612928,0.0247318982715134
"TALL_051",0.107066179024813,0.272718752987406,0.511167734720348,0.0650220205406028,0.0205792313510428,0.0234460813757879
"TALL_054",0.109819639744749,0.282545702686168,0.497609391906812,0.0650259755677065,0.0210255414978944,0.0239737485966699
"UNDE_001",0.215201901078097,0.488193435729592,0.0905276301173479,0.105195280651234,0.0378791083066269,0.063002644117102
"UNDE_006",0.200488038007455,0.471046884461682,0.127987389158151,0.102125804254443,0.0371136307837398,0.0612382533345295
"UNDE_007",0.207880503069694,0.479349281093238,0.109517892167168,0.104059549023475,0.0374862203307743,0.0617065543156512
"UNDE_008",0.20969573880278,0.48357119605357,0.10127906538904,0.104929976746729,0.0378976529174346,0.0626263700904462
